"국가별",2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020
"국가별",전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자
"아시아",,,,,,,,,,,,,,,
"한국",10.5,10.7,10.4,10.2,10.8,9.7,10.4,10.8,10.1,11.0,12.1,10.0,11.9,13.4,10.6
"아프가니스탄",17.7,16.5,21.7,17.5,16.3,21.3,17.3,16.1,21.0,17.4,16.2,21.2,17.5,16.3,21.3
"방글라데시",11.1,9.8,14.3,12.3,10.4,16.7,12.1,10.2,16.5,11.9,10.3,15.4,11.6,10.2,14.6
"부탄",9.8,7.7,11.8,9.8,7.7,11.9,9.9,7.8,12.0,10.5,8.4,12.7,11.3,9.0,13.6
"캄보디아",1.1,1.0,1.2,1.1,1.0,1.2,1.0,1.0,1.1,1.1,1.0,1.2,1.1,1.0,1.3
"중국",10.7,11.7,9.5,10.6,11.5,9.4,10.2,11.1,9.1,10.3,11.3,9.2,10.5,11.5,9.4
"키프로스",27.9,25.1,30.9,23.9,25.7,22.2,19.5,23.3,15.7,15.6,17.0,14.3,15.9,16.6,15.1
"조지아",35.7,37.5,32.1,29.2,26.6,34.2,29.0,26.5,34.1,30.5,28.6,34.5,31.3,29.6,34.9
"홍콩",9.8,11.0,8.6,8.7,9.2,8.2,8.3,8.8,7.9,10.0,11.0,9.1,11.4,12.7,10.1
"인도",22.6,22.4,23.6,22.7,22.5,23.9,22.8,22.6,24.3,23.3,23.1,24.6,23.8,23.4,25.3
"인도네시아",15.8,15.8,15.9,15.4,15.4,15.3,16.4,16.3,16.4,17.0,16.8,17.4,17.6,17.3,18.1
"이란",28.8,25.0,43.4,28.0,23.8,42.7,28.3,24.4,42.3,27.4,23.4,41.9,27.2,23.1,42.9
"이스라엘",8.6,8.3,9.1,7.3,6.7,7.8,7.2,7.0,7.4,7.3,6.7,7.8,7.0,6.6,7.3
"일본",5.1,5.7,4.4,4.6,4.7,4.5,3.6,4.1,3.1,3.7,4.2,3.1,4.0,4.5,3.5
"요르단",35.6,31.0,56.0,35.4,30.8,55.8,35.1,30.5,55.7,35.0,30.3,56.1,35.0,30.3,55.6
"카자흐스탄",3.8,3.6,4.1,3.8,3.6,4.0,3.7,3.5,3.9,3.9,3.7,4.1,4.0,3.8,4.2
"북한",6.4,7.2,5.6,6.4,7.2,5.6,6.3,7.1,5.5,6.4,7.2,5.6,6.5,7.3,5.7
"쿠웨이트",15.1,8.9,29.7,13.7,7.9,27.5,14.8,9.1,28.4,15.8,10.0,29.4,16.5,10.7,30.1
"키르기스스탄",15.6,12.8,20.6,14.8,11.7,21.1,14.3,10.2,22.7,14.4,10.8,21.6,14.8,11.6,21.3
"라오스",1.7,1.9,1.6,1.7,1.8,1.6,1.7,1.8,1.6,1.7,1.8,1.6,1.7,1.8,1.6
"레바논",17.6,15.8,21.5,17.4,15.7,21.3,17.3,15.6,21.3,17.6,16.1,21.2,17.8,16.4,21.2
"마카오",4.7,6.0,3.2,5.2,6.4,3.9,5.2,6.3,4.0,5.7,7.1,4.2,6.3,7.9,4.4
"말레이시아",11.0,10.4,11.8,11.0,10.4,12.0,11.0,10.4,11.9,11.3,10.7,12.1,11.7,11.2,12.5
"몰디브",16.1,17.8,11.4,15.9,17.4,11.3,16.0,17.4,11.3,16.8,18.0,12.7,17.7,18.9,14.1
"몽골",19.9,19.4,20.7,17.3,14.7,21.1,17.2,14.5,21.2,16.3,13.6,20.3,16.0,13.3,19.9
"네팔",2.4,3.0,1.9,2.2,2.8,1.8,2.2,2.8,1.7,2.3,2.9,1.8,2.4,3.1,1.8
"오만",13.9,10.4,35.3,13.4,10.0,35.2,13.2,10.0,33.5,13.2,9.5,35.2,13.7,9.1,37.7
"파키스탄",7.2,6.7,8.9,7.6,7.5,7.9,8.0,8.3,6.8,8.9,9.0,8.4,8.5,8.7,8.0
"필리핀",7.7,6.8,9.2,7.4,6.6,8.8,6.6,5.7,8.1,6.2,5.3,7.7,6.3,5.4,7.8
"카타르",0.5,0.2,2.3,0.5,0.2,2.3,0.4,0.2,1.8,0.4,0.2,1.6,0.3,0.1,1.5
"사우디아라비아",24.6,18.0,47.6,26.9,20.2,51.0,28.8,19.9,62.7,28.6,20.2,60.0,27.9,19.7,58.4
"싱가포르",9.1,6.4,12.7,9.3,6.7,12.9,9.0,6.5,12.3,9.3,6.7,12.6,9.7,7.0,13.1
"스리랑카",20.0,16.0,27.7,20.5,16.4,28.6,21.0,16.7,29.4,21.2,16.9,29.8,20.8,16.5,29.4
"시리아",21.1,17.1,46.4,21.0,17.0,46.6,20.9,16.9,46.6,20.9,16.8,47.6,21.1,17.0,47.9
"대만",12.1,11.6,12.6,11.9,11.4,12.4,11.4,11.2,11.7,11.7,11.3,12.2,12.0,11.6,12.3
"태국",3.8,3.1,4.8,4.4,3.7,5.5,4.0,3.6,4.7,3.9,3.3,4.7,4.1,3.5,5.0
"터키",19.1,16.9,23.3,20.1,17.3,25.2,19.7,17.2,24.6,23.7,21.4,28.0,22.7,20.9,26.0
"아랍에미리트",5.8,5.0,8.6,7.9,6.3,13.3,7.1,5.2,13.1,7.3,5.7,12.8,7.5,5.9,12.7
"우즈베키스탄",9.9,9.7,10.3,11.2,10.9,11.8,11.2,10.8,11.8,11.6,11.3,12.2,12.0,11.7,12.6
"베트남",7.0,7.0,7.0,7.2,7.2,7.3,7.3,7.2,7.3,7.3,7.1,7.5,7.2,6.9,7.6
"예멘",24.6,23.6,34.2,24.4,23.5,34.2,24.3,23.4,34.1,24.0,23.2,34.0,23.9,23.1,33.9
"북아메리카",,,,,,,,,,,,,,,
"캐나다",13.1,14.8,11.3,11.6,13.2,9.9,11.1,12.5,9.6,10.8,11.8,9.7,10.6,11.7,9.5
"멕시코",7.6,7.1,8.6,6.8,6.3,7.9,6.8,6.4,7.6,7.1,6.3,8.5,7.6,6.7,9.2
"미국",10.3,11.3,9.2,9.1,10.2,8.0,8.5,9.4,7.6,8.5,9.7,7.3,8.9,9.9,7.9
"남아메리카",,,,,,,,,,,,,,,
"아르헨티나",21.7,19.2,25.7,23.0,20.3,27.3,24.0,21.2,28.2,25.3,22.7,29.3,26.8,24.1,30.8
"바하마",25.8,20.8,33.5,22.1,17.6,29.2,24.1,21.5,28.2,23.5,20.6,28.0,24.7,21.6,29.5
"바베이도스",28.9,27.2,30.7,29.2,27.6,31.0,28.4,26.9,30.2,30.2,28.7,32.0,31.6,29.7,33.7
"벨리즈",16.3,11.0,25.9,15.4,9.6,25.3,15.3,9.4,25.4,15.1,9.5,24.9,15.0,9.4,24.8
"브라질",26.9,23.8,31.1,29.0,25.7,33.2,28.3,25.2,32.3,27.4,24.4,31.3,26.9,23.7,31.1
"칠레",16.0,14.8,17.8,17.2,16.1,18.6,18.2,16.8,20.0,19.0,17.7,20.6,19.1,17.3,21.2
"콜롬비아",17.5,13.6,23.1,17.8,13.8,23.6,18.6,14.5,24.4,19.0,14.5,25.5,19.7,15.1,26.2
"코스타리카",22.1,18.1,28.7,21.0,18.0,26.0,25.9,21.9,32.2,30.5,25.6,38.3,32.4,27.0,40.9
"도미니카공화국",16.8,11.8,26.1,13.5,10.0,19.7,13.4,9.7,19.7,13.5,9.7,20.1,13.5,9.6,20.3
"에콰도르",10.3,8.0,14.1,8.4,6.6,11.4,7.9,6.4,10.4,8.9,7.4,11.5,9.5,8.0,12.0
"엘살바도르",9.7,9.5,10.0,9.9,8.7,12.2,9.5,8.2,11.6,9.6,8.7,11.1,9.7,8.9,11.2
"가이아나",21.5,17.4,28.0,21.4,17.2,27.9,21.3,17.1,28.0,21.3,17.0,28.0,21.2,16.9,28.0
"아이티",30.6,24.4,38.7,30.3,24.2,38.5,30.0,23.9,38.2,30.7,24.7,38.8,31.2,25.3,39.3
"온두라스",12.7,8.5,21.2,10.9,7.6,17.3,10.6,7.8,16.0,10.3,7.5,15.6,10.1,7.4,15.1
"자메이카",33.4,28.7,39.6,29.5,24.6,35.6,25.6,21.5,30.8,22.1,17.6,27.9,22.4,17.9,28.1
"니카라과",7.6,6.1,11.0,6.5,5.3,9.3,10.3,8.7,14.4,13.0,11.4,16.9,13.3,11.8,17.1
"파나마",8.3,7.3,10.1,10.8,8.4,15.1,10.4,7.6,15.4,10.0,7.6,14.4,9.8,7.5,13.8
"파라과이",11.4,9.1,15.3,10.8,9.9,12.3,10.7,9.8,12.1,11.4,9.9,13.8,11.5,9.8,14.1
"페루",8.7,8.7,8.8,8.6,8.7,8.4,8.6,8.7,8.4,8.4,7.3,9.5,8.1,7.5,8.7
"푸에르토리코",26.0,28.9,20.5,24.4,26.9,19.1,21.5,23.5,16.7,19.7,21.4,15.6,20.6,22.3,16.3
"수리남",13.5,9.1,21.8,13.3,8.9,21.7,13.2,8.9,21.6,15.3,10.3,25.0,16.0,10.9,26.1
"트리니다드토바고",7.1,7.1,6.9,6.5,6.6,6.3,6.0,6.0,6.1,6.4,6.3,6.5,6.5,6.2,6.9
"우루과이",23.9,20.4,28.6,25.0,21.0,30.5,26.3,23.0,30.8,27.1,23.7,31.5,27.1,23.6,31.8
"베네수엘라",16.3,13.7,21.4,16.3,13.7,21.4,16.3,13.7,21.6,18.8,16.4,23.5,17.8,16.4,20.6
"유럽",,,,,,,,,,,,,,,
"알바니아",35.0,36.2,32.9,31.4,34.0,27.1,28.6,31.1,24.5,28.1,30.4,24.3,28.8,31.1,24.8
"오스트리아",11.2,12.1,10.2,9.8,10.7,8.7,9.4,9.4,9.4,8.4,8.8,7.9,8.5,8.8,8.1
"벨기에",20.1,21.7,18.1,19.2,20.2,18.0,15.8,16.2,15.3,15.7,17.8,13.2,16.3,18.0,14.3
"보스니아-헤르체고비나",55.0,52.8,58.9,46.5,43.8,51.4,39.3,35.8,45.7,39.7,36.4,45.8,40.2,37.0,45.9
"불가리아",17.2,17.4,16.9,12.9,13.2,12.4,12.7,13.2,11.9,9.9,10.4,9.1,8.7,9.1,8.2
"크로아티아",31.3,31.3,31.3,27.4,27.1,27.7,23.7,19.6,29.4,17.8,14.5,22.4,20.7,18.3,24.1
"체코",10.5,9.9,11.4,7.9,7.4,8.7,6.7,6.4,7.2,6.4,6.1,6.7,6.0,5.7,6.3
"덴마크",11.9,13.0,10.9,11.0,11.4,10.7,9.3,10.5,8.2,9.8,10.4,9.3,9.4,9.9,8.8
"에스토니아",13.4,15.7,10.5,12.1,13.8,9.9,11.8,12.2,11.4,12.6,12.9,12.2,12.0,12.5,11.5
"핀란드",20.0,21.5,18.5,20.0,20.7,19.3,16.9,17.1,16.8,16.3,18.4,14.2,16.4,18.2,14.6
"프랑스",24.5,24.9,24.0,22.2,23.0,21.2,20.7,21.3,19.9,19.1,20.4,17.6,19.5,20.4,18.4
