measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Andorra,Both,All Ages,Depressive disorders,Number,2018,3566.643079,4099.32078,3126.497657
Prevalence,Honduras,Both,All Ages,Depressive disorders,Number,2018,260193.7014,300859.7923,226561.8055
Prevalence,Israel,Both,All Ages,Depressive disorders,Number,2018,383016.122,432207.2951,337156.1022
Prevalence,Jakarta,Both,All Ages,Depressive disorders,Number,2018,241270.4095,273231.2579,212165.9473
Prevalence,Wales,Both,All Ages,Depressive disorders,Number,2018,151791.1167,171550.5682,134593.7285
Prevalence,Southeast Asia,Both,All Ages,Depressive disorders,Number,2018,18067225.85,20595168.61,15847240.14
Prevalence,Papua,Both,All Ages,Depressive disorders,Number,2018,81455.2947,92475.19169,71436.63609
Prevalence,Southern Latin America,Both,All Ages,Depressive disorders,Number,2018,1984333.893,2207483.489,1781706.986
Prevalence,Serbia,Both,All Ages,Depressive disorders,Number,2018,310335.2234,356089.7505,272773.2977
Prevalence,Barbados,Both,All Ages,Depressive disorders,Number,2018,11134.90798,12710.52296,9776.081943
Prevalence,"Central Europe, Eastern Europe, and Central Asia",Both,All Ages,Depressive disorders,Number,2018,15208485.84,16928790.45,13652815.89
Prevalence,High-income,Both,All Ages,Depressive disorders,Number,2018,44399647.04,48828947.35,40526658.36
Prevalence,Guam,Both,All Ages,Depressive disorders,Number,2018,5629.095251,6485.050752,4896.001541
Prevalence,Central Europe,Both,All Ages,Depressive disorders,Number,2018,3718732.914,4207939.224,3313902.327
Prevalence,Bahrain,Both,All Ages,Depressive disorders,Number,2018,76341.82561,89272.16658,65970.44927
Prevalence,Austria,Both,All Ages,Depressive disorders,Number,2018,331895.9431,377284.1615,293089.0465
Prevalence,Suriname,Both,All Ages,Depressive disorders,Number,2018,28184.93141,31909.71801,24735.61912
Prevalence,Mozambique,Both,All Ages,Depressive disorders,Number,2018,959465.8525,1116735.728,823137.9197
Prevalence,Italy,Both,All Ages,Depressive disorders,Number,2018,2664098.076,2953294.875,2401318.934
Prevalence,Ehime,Both,All Ages,Depressive disorders,Number,2018,34238.852,37359.53173,31300.76449
Prevalence,South Africa,Both,All Ages,Depressive disorders,Number,2018,2372914.912,2626672.171,2139927.323
Prevalence,Greenland,Both,All Ages,Depressive disorders,Number,2018,3567.608919,4073.51459,3119.276346
Prevalence,San Marino,Both,All Ages,Depressive disorders,Number,2018,1577.822123,1861.785116,1336.843004
Prevalence,New Hampshire,Both,All Ages,Depressive disorders,Number,2018,70166.97308,76823.15712,64016.27518
Prevalence,Bhutan,Both,All Ages,Depressive disorders,Number,2018,29038.3512,33520.52308,25147.00617
Prevalence,Gabon,Both,All Ages,Depressive disorders,Number,2018,85827.31379,99264.96348,73663.98616
Prevalence,Nevada,Both,All Ages,Depressive disorders,Number,2018,162821.5107,178640.3228,148013.8494
Prevalence,Qatar,Both,All Ages,Depressive disorders,Number,2018,128950.291,151908.0699,108885.8211
Prevalence,Togo,Both,All Ages,Depressive disorders,Number,2018,267444.4504,308432.182,232043.0362
Prevalence,Quer?taro,Both,All Ages,Depressive disorders,Number,2018,78968.97268,88118.82119,70794.93489
Prevalence,Meru,Both,All Ages,Depressive disorders,Number,2018,71998.08614,80247.34748,64669.88788
Prevalence,Mexico,Both,All Ages,Depressive disorders,Number,2018,4486784.846,4978360.92,4050931.718
Prevalence,West Java,Both,All Ages,Depressive disorders,Number,2018,1206932.665,1362113.743,1062385.683
Prevalence,Guanajuato,Both,All Ages,Depressive disorders,Number,2018,223552.7645,249813.1785,201493.0519
Prevalence,Wisconsin,Both,All Ages,Depressive disorders,Number,2018,281270.6474,308866.3827,257843.1371
Prevalence,Belize,Both,All Ages,Depressive disorders,Number,2018,12573.34282,14523.26726,10967.35192
Prevalence,Kentucky,Both,All Ages,Depressive disorders,Number,2018,228889.321,251681.4882,208832.1834
Prevalence,Cambodia,Both,All Ages,Depressive disorders,Number,2018,457285.5968,531118.7715,395743.6875
Prevalence,Connecticut,Both,All Ages,Depressive disorders,Number,2018,144424.1198,160325.6376,131266.9328
Prevalence,Argentina,Both,All Ages,Depressive disorders,Number,2018,1142815.768,1262263.851,1042505.176
Prevalence,South Kalimantan,Both,All Ages,Depressive disorders,Number,2018,102363.8247,115409.0334,90266.91102
Prevalence,Wyoming,Both,All Ages,Depressive disorders,Number,2018,30774.03482,33822.6815,28170.04105
Prevalence,Trinidad and Tobago,Both,All Ages,Depressive disorders,Number,2018,59649.58638,68234.41968,52227.5844
Prevalence,Oceania,Both,All Ages,Depressive disorders,Number,2018,342825.6562,400926.7366,293008.356
Prevalence,Eastern Sub-Saharan Africa,Both,All Ages,Depressive disorders,Number,2018,13876389.53,15816250.67,12155584.77
Prevalence,India,Both,All Ages,Depressive disorders,Number,2018,49450603.29,54477965.36,44537234.98
Prevalence,Aguascalientes,Both,All Ages,Depressive disorders,Number,2018,49613.44206,55020.76281,44577.75668
Prevalence,Goi?s,Both,All Ages,Depressive disorders,Number,2018,296050.0441,323604.3546,270147.0944
Prevalence,Brunei Darussalam,Both,All Ages,Depressive disorders,Number,2018,7199.925646,8429.369622,6177.116544
Prevalence,East Kalimantan,Both,All Ages,Depressive disorders,Number,2018,81595.27892,92520.4307,71897.96998
Prevalence,Indonesia,Both,All Ages,Depressive disorders,Number,2018,6396089.162,7198664.66,5660081.886
Prevalence,Busia,Both,All Ages,Depressive disorders,Number,2018,30564.61016,34117.8941,27291.34415
Prevalence,Quintana Roo,Both,All Ages,Depressive disorders,Number,2018,66346.85771,74466.81121,58826.14237
Prevalence,Maranh?o,Both,All Ages,Depressive disorders,Number,2018,287674.3427,317308.9161,261103.8254
Prevalence,Rond?nia,Both,All Ages,Depressive disorders,Number,2018,67268.50709,74231.88674,61019.12992
Prevalence,Rhode Island,Both,All Ages,Depressive disorders,Number,2018,56741.83382,62204.32585,51848.17537
Prevalence,Akita,Both,All Ages,Depressive disorders,Number,2018,27055.20883,29573.9915,24728.44415
Prevalence,Armenia,Both,All Ages,Depressive disorders,Number,2018,104864.4969,120460.0376,92012.4862
Prevalence,Chile,Both,All Ages,Depressive disorders,Number,2018,733330.6089,837345.953,646428.8608
Prevalence,Toyama,Both,All Ages,Depressive disorders,Number,2018,27125.59068,29494.51713,24874.07712
Prevalence,Albania,Both,All Ages,Depressive disorders,Number,2018,78983.6831,91451.73684,69319.64031
Prevalence,Africa,Both,All Ages,Depressive disorders,Number,2018,44753191.78,50974266.84,39217447.25
Prevalence,Fiji,Both,All Ages,Depressive disorders,Number,2018,26098.82889,30356.82233,22531.19192
Prevalence,High-income Asia Pacific,Both,All Ages,Depressive disorders,Number,2018,4734532.78,5168815.367,4329390.794
Prevalence,Tokelau,Both,All Ages,Depressive disorders,Number,2018,40.59195215,47.87412066,34.19565732
Prevalence,Eswatini,Both,All Ages,Depressive disorders,Number,2018,41563.1075,48454.04814,35939.41304
Prevalence,Rio Grande do Norte,Both,All Ages,Depressive disorders,Number,2018,154207.9877,168882.8604,140472.8963
Prevalence,Yamagata,Both,All Ages,Depressive disorders,Number,2018,26133.98337,29062.41617,23512.28614
Prevalence,Sweden except Stockholm,Both,All Ages,Depressive disorders,Number,2018,384424.1815,419854.2487,350095.9063
Prevalence,Viet Nam,Both,All Ages,Depressive disorders,Number,2018,2589019.059,3096285.379,2200975.124
Prevalence,European Union,Both,All Ages,Depressive disorders,Number,2018,22325980.2,24744885.1,20184544.62
Prevalence,Tuvalu,Both,All Ages,Depressive disorders,Number,2018,355.8412694,422.0234929,297.3962809
Prevalence,Guerrero,Both,All Ages,Depressive disorders,Number,2018,122493.5964,135713.4592,110440.7633
Prevalence,Guinea,Both,All Ages,Depressive disorders,Number,2018,378324.217,435029.817,326490.2479
Prevalence,Seychelles,Both,All Ages,Depressive disorders,Number,2018,2988.23616,3541.156939,2557.560393
Prevalence,Belgium,Both,All Ages,Depressive disorders,Number,2018,466910.4793,528094.0056,414217.0159
Prevalence,West Sumatra,Both,All Ages,Depressive disorders,Number,2018,122967.9537,138386.0814,108834.8792
Prevalence,Ghana,Both,All Ages,Depressive disorders,Number,2018,1101332.495,1278756.468,953459.8469
Prevalence,East Asia & Pacific - WB,Both,All Ages,Depressive disorders,Number,2018,75200304.75,83841317.68,67453168.93
Prevalence,Andean Latin America,Both,All Ages,Depressive disorders,Number,2018,1679988.924,1931104.968,1471849.689
Prevalence,Azerbaijan,Both,All Ages,Depressive disorders,Number,2018,297332.9922,350276.3764,257138.1619
Prevalence,Bosnia and Herzegovina,Both,All Ages,Depressive disorders,Number,2018,116437.4358,135290.3787,101818.9893
Prevalence,Luxembourg,Both,All Ages,Depressive disorders,Number,2018,22854.28274,25915.9689,20454.41345
Prevalence,Syrian Arab Republic,Both,All Ages,Depressive disorders,Number,2018,582363.9859,670021.2763,501211.896
Prevalence,Egypt,Both,All Ages,Depressive disorders,Number,2018,3544172.943,4081546.149,3067273.676
Prevalence,Slovakia,Both,All Ages,Depressive disorders,Number,2018,184537.3067,211753.1782,161900.719
Prevalence,Aceh,Both,All Ages,Depressive disorders,Number,2018,114453.467,128947.1835,101145.1293
