Rank,Country,Average Temperature,Coldest Month,Hottest Month,Variation
1,Mali,28.83,19.4,34.6,15.2
2,Burkina Faso,28.71,22.9,33.9,11
3,Senegal,28.65,23.3,32.8,9.5
4,Tuvalu,28.45,27.1,29.6,2.5
5,Djibouti,28.38,22.7,34.1,11.4
6,Mauritania,28.34,19.1,34.5,15.4
7,Bahrain,28.23,13.8,39.6,25.8
8,Palau,28.04,26.7,29.3,2.6
9,Qatar,28.02,15.1,37.8,22.7
10,Gambia,27.97,23.3,31.3,8
11,Marshall Islands,27.93,26.6,29,2.4
11,Benin,27.93,24.9,31.9,7
13,Niger,27.83,17.1,34.6,17.5
14,Maldives,27.8,27.2,28.9,1.7
15,Sudan,27.74,18.7,33.2,14.5
16,South Sudan,27.72,25,31.8,6.8
17,Ghana,27.68,25,31.1,6.1
18,Northern Mariana Islands,27.64,25.9,30,4.1
19,United Arab Emirates,27.63,16.5,35.7,19.2
20,Singapore,27.6,26.1,29.3,3.2
21,Samoa,27.59,25.8,29.5,3.7
22,Seychelles,27.55,25.5,29.4,3.9
23,Cambodia,27.51,23.3,31,7.7
24,Kiribati,27.49,27.2,27.8,0.6
25,Guinea-Bissau,27.43,23.4,31.1,7.7
26,Saint Vincent and the Grenadines,27.42,25,29.1,4.1
27,Togo,27.38,24.4,30.9,6.5
28,Chad,27.37,18.9,32.7,13.8
29,Sri Lanka,27.28,25,29.3,4.3
30,Nigeria,27.24,23.2,31.5,8.3
30,Grenada,27.24,25,28.9,3.9
32,Somalia,27.09,24.8,29.3,4.5
33,Eritrea,26.92,20.3,31.1,10.8
34,Thailand,26.79,21.4,31.2,9.8
35,Côte d’Ivoire,26.76,24.3,30.3,6
36,Barbados,26.73,24.9,28.1,3.2
37,Micronesia (Federated States of),26.65,25.4,27.7,2.3
38,Antigua and Barbuda,26.61,24.3,28.3,4
39,Brunei Darussalam,26.56,25,28,3
40,Sierra Leone,26.54,24.3,29.4,5.1
41,Trinidad and Tobago,26.37,24.6,27.9,3.3
42,Saint Lucia,26.34,24.2,28,3.8
